date,Party,death,death_population_1000000,death_previous7_avg,death_previous7_avg_population_1000000,positive,positive_population_1000000,positive_previous7_avg,positive_previous7_avg_population_1000000
2020-01-22,Democratic,,,,,2.0,0.26264321770509447,,
2020-01-23,Democratic,,,,,2.0,0.26264321770509447,,
2020-01-24,Democratic,,,,,2.0,0.26264321770509447,,
2020-01-25,Democratic,,,,,2.0,0.26264321770509447,,
2020-01-26,Democratic,,,,,2.0,0.26264321770509447,,
2020-01-27,Democratic,,,,,2.0,0.26264321770509447,,
2020-01-28,Democratic,,,0.0,0.0,2.0,0.26264321770509447,0.0,0.0
2020-01-29,Democratic,,,0.0,0.0,3.0,0.3939648265576417,0.14285714285714285,0.018760229836078175
2020-01-30,Democratic,,,0.0,0.0,3.0,0.3939648265576417,0.14285714285714285,0.018760229836078175
2020-01-31,Democratic,,,0.0,0.0,3.0,0.3939648265576417,0.14285714285714285,0.018760229836078175
2020-02-01,Democratic,,,0.0,0.0,4.0,0.5252864354101889,0.2857142857142857,0.03752045967215635
2020-02-02,Democratic,,,0.0,0.0,6.0,0.7879296531152834,0.5714285714285714,0.0750409193443127
2020-02-03,Democratic,,,0.0,0.0,7.0,0.9192512619678307,0.7142857142857143,0.0938011491803909
2020-02-04,Democratic,,,0.0,0.0,8.0,1.0505728708203779,0.8571428571428571,0.11256137901646905
2020-02-05,Democratic,,,0.0,0.0,8.0,1.0505728708203779,0.7142857142857143,0.0938011491803909
2020-02-06,Democratic,,,0.0,0.0,11.0,1.4445376973780195,1.1428571428571428,0.1500818386886254
2020-02-07,Democratic,,,0.0,0.0,12.0,1.5758593062305668,1.2857142857142858,0.16884206852470363
2020-02-08,Democratic,,,0.0,0.0,13.0,1.707180915083114,1.2857142857142858,0.16884206852470363
2020-02-09,Democratic,,,0.0,0.0,13.0,1.707180915083114,1.0,0.13132160885254723
2020-02-10,Democratic,,,0.0,0.0,16.0,2.1011457416407557,1.2857142857142858,0.16884206852470363
2020-02-11,Democratic,,,0.0,0.0,17.0,2.2324673504933035,1.2857142857142858,0.16884206852470363
2020-02-12,Democratic,,,0.0,0.0,18.0,2.3637889593458503,1.4285714285714286,0.1876022983607818
2020-02-13,Democratic,,,0.0,0.0,18.0,2.3637889593458503,1.0,0.13132160885254723
2020-02-14,Democratic,,,0.0,0.0,21.0,2.757753785903492,1.2857142857142858,0.16884206852470363
2020-02-15,Democratic,,,0.0,0.0,28.0,3.6770050478713228,2.142857142857143,0.28140344754117264
2020-02-16,Democratic,,,0.0,0.0,35.0,4.596256309839153,3.142857142857143,0.41272505639371987
2020-02-17,Democratic,,,0.0,0.0,50.0,6.566080442627363,4.857142857142857,0.6378478144266579
2020-02-18,Democratic,,,0.0,0.0,59.0,7.747974922300286,6.0,0.7879296531152834
