date,state,positive,death,positiveIncrease,deathIncrease,positive_previous7_avg,death_previous7_avg,state_long,population_2019,positive_population,death_population,positive_previous7_avg_population,death_previous7_avg_population,positive_population_1000000,death_population_1000000,positive_previous7_avg_population_1000000,death_previous7_avg_population_1000000,STAYHOME_x,END_STHM_x,CLBSNS_x,END_BSNS_x,FM_ALL_x,FM_EMP_x,CLREST_x,ENDREST_x,CLGYM_x,ENDGYM_x,CLMOVIE_x,END_MOV_x,CLOSEBAR_x,END_BRS_x,CLBAR2_x,CLMV2_x,CLGYM2_x,CLRST2_x,STAYHOME_y,END_STHM_y,CLBSNS_y,END_BSNS_y,FM_ALL_y,FM_EMP_y,CLREST_y,ENDREST_y,CLGYM_y,ENDGYM_y,CLMOVIE_y,END_MOV_y,CLOSEBAR_y,END_BRS_y,CLBAR2_y,CLMV2_y,CLGYM2_y,CLRST2_y,STAYHOME_z,END_STHM_z,CLBSNS_z,END_BSNS_z,FM_ALL_z,FM_EMP_z,Name,Party
2020-02-05,WA,8.0,,0,0,0.7142857142857143,0.0,Washington,7614893.0,1.0505728708203779e-06,,9.380114918039089e-08,0.0,1.0505728708203779,,0.0938011491803909,0.0,,,,,,,,,,,,,,,,,,,2020-03-23,2020-06-01,2020-03-25,2020-05-05,2020-06-26,2020-05-04,2020-03-16,,2020-03-16,,2020-03-16,,2020-03-16,,,,,,,,,,,,Jay Inslee,Democratic
2020-02-06,WA,11.0,,3,0,1.1428571428571428,0.0,Washington,7614893.0,1.4445376973780195e-06,,1.500818386886254e-07,0.0,1.4445376973780195,,0.1500818386886254,0.0,,,,,,,,,,,,,,,,,,,2020-03-23,2020-06-01,2020-03-25,2020-05-05,2020-06-26,2020-05-04,2020-03-16,,2020-03-16,,2020-03-16,,2020-03-16,,,,,,,,,,,,Jay Inslee,Democratic
2020-02-07,WA,12.0,,1,0,1.2857142857142858,0.0,Washington,7614893.0,1.5758593062305668e-06,,1.6884206852470362e-07,0.0,1.5758593062305668,,0.16884206852470363,0.0,,,,,,,,,,,,,,,,,,,2020-03-23,2020-06-01,2020-03-25,2020-05-05,2020-06-26,2020-05-04,2020-03-16,,2020-03-16,,2020-03-16,,2020-03-16,,,,,,,,,,,,Jay Inslee,Democratic
2020-02-08,WA,13.0,,1,0,1.2857142857142858,0.0,Washington,7614893.0,1.707180915083114e-06,,1.6884206852470362e-07,0.0,1.707180915083114,,0.16884206852470363,0.0,,,,,,,,,,,,,,,,,,,2020-03-23,2020-06-01,2020-03-25,2020-05-05,2020-06-26,2020-05-04,2020-03-16,,2020-03-16,,2020-03-16,,2020-03-16,,,,,,,,,,,,Jay Inslee,Democratic
2020-02-09,WA,13.0,,0,0,1.0,0.0,Washington,7614893.0,1.707180915083114e-06,,1.3132160885254723e-07,0.0,1.707180915083114,,0.13132160885254723,0.0,,,,,,,,,,,,,,,,,,,2020-03-23,2020-06-01,2020-03-25,2020-05-05,2020-06-26,2020-05-04,2020-03-16,,2020-03-16,,2020-03-16,,2020-03-16,,,,,,,,,,,,Jay Inslee,Democratic
2020-02-10,WA,16.0,,3,0,1.2857142857142858,0.0,Washington,7614893.0,2.1011457416407558e-06,,1.6884206852470362e-07,0.0,2.1011457416407557,,0.16884206852470363,0.0,,,,,,,,,,,,,,,,,,,2020-03-23,2020-06-01,2020-03-25,2020-05-05,2020-06-26,2020-05-04,2020-03-16,,2020-03-16,,2020-03-16,,2020-03-16,,,,,,,,,,,,Jay Inslee,Democratic
2020-02-11,WA,17.0,,1,0,1.2857142857142858,0.0,Washington,7614893.0,2.2324673504933033e-06,,1.6884206852470362e-07,0.0,2.2324673504933035,,0.16884206852470363,0.0,,,,,,,,,,,,,,,,,,,2020-03-23,2020-06-01,2020-03-25,2020-05-05,2020-06-26,2020-05-04,2020-03-16,,2020-03-16,,2020-03-16,,2020-03-16,,,,,,,,,,,,Jay Inslee,Democratic
2020-02-12,WA,18.0,,1,0,1.4285714285714286,0.0,Washington,7614893.0,2.3637889593458503e-06,,1.8760229836078178e-07,0.0,2.3637889593458503,,0.1876022983607818,0.0,,,,,,,,,,,,,,,,,,,2020-03-23,2020-06-01,2020-03-25,2020-05-05,2020-06-26,2020-05-04,2020-03-16,,2020-03-16,,2020-03-16,,2020-03-16,,,,,,,,,,,,Jay Inslee,Democratic
2020-02-13,WA,18.0,,0,0,1.0,0.0,Washington,7614893.0,2.3637889593458503e-06,,1.3132160885254723e-07,0.0,2.3637889593458503,,0.13132160885254723,0.0,,,,,,,,,,,,,,,,,,,2020-03-23,2020-06-01,2020-03-25,2020-05-05,2020-06-26,2020-05-04,2020-03-16,,2020-03-16,,2020-03-16,,2020-03-16,,,,,,,,,,,,Jay Inslee,Democratic
2020-02-14,WA,21.0,,3,0,1.2857142857142858,0.0,Washington,7614893.0,2.757753785903492e-06,,1.6884206852470362e-07,0.0,2.757753785903492,,0.16884206852470363,0.0,,,,,,,,,,,,,,,,,,,2020-03-23,2020-06-01,2020-03-25,2020-05-05,2020-06-26,2020-05-04,2020-03-16,,2020-03-16,,2020-03-16,,2020-03-16,,,,,,,,,,,,Jay Inslee,Democratic
